Source Port,Destination Port,NAT Source Port,NAT Destination Port,Action,Bytes,Bytes Sent,Bytes Received,Packets,Elapsed Time (sec),pkts_sent,pkts_received,Rule ID,HitCount
55234,53,5157,53,allow,177,94,83,2,29,1,1,65,2
50692,80,30484,80,allow,5727,3584,2143,15,31,8,7,66,2
60370,80,40899,80,allow,1243,769,474,9,123,6,3,67,1
65401,53,57745,53,allow,235,102,133,2,29,1,1,68,1
51737,53,3505,53,allow,231,78,153,2,30,1,1,69,1
50685,80,6959,80,allow,63891,26626,37265,86,34,39,47,70,2
52191,443,46265,443,allow,7882,810,7072,21,15,9,12,71,2
54557,80,41721,80,allow,2091,799,1292,10,15,6,4,72,1
48818,443,11974,443,allow,4167,1669,2498,23,15,12,11,73,1
64223,53,57211,53,allow,199,94,105,2,30,1,1,74,1
49245,53,34102,53,allow,376,126,250,2,29,1,1,75,5
65258,443,17337,443,allow,6043,1568,4475,11,120,4,7,76,1
64399,53,50659,53,allow,230,110,120,2,29,1,1,77,2
55234,53,22160,53,allow,177,94,83,2,30,1,1,65,2
64593,53,56394,53,allow,94,94,0,1,30,1,0,78,3
56911,53,36658,53,allow,177,94,83,2,31,1,1,79,5
53977,22266,9645,22266,allow,492,306,186,8,17,5,3,80,1
50148,80,57004,80,allow,9058,868,8190,18,46,10,8,81,2
53178,42671,48767,42671,allow,70,70,0,2,8,2,0,82,1
52181,443,64436,443,allow,7855,815,7040,21,15,9,12,83,1
65004,53,23515,53,allow,323,94,229,2,30,1,1,84,2
46265,443,19534,443,allow,173828,9311,164517,245,448,118,127,85,1
49158,443,27828,443,allow,14490,4227,10263,35,36,19,16,86,3
33067,53,47200,53,allow,168,78,90,2,30,1,1,87,2
56911,53,39355,53,allow,177,94,83,2,30,1,1,79,5
22767,53,22767,53,allow,226,106,120,2,30,1,1,88,1
52715,443,38027,443,allow,164840,5975,158865,179,122,61,118,89,2
33845,80,39303,80,allow,424,210,214,7,27,4,3,90,1
61442,443,19223,443,allow,3403,1891,1512,24,42,13,11,91,1
9446,443,50836,443,allow,8672,1863,6809,22,46,11,11,92,1
52194,443,38386,443,allow,12374,1090,11284,27,15,13,14,93,2
58306,443,59387,443,allow,864,436,428,13,29,7,6,94,2
42412,443,55628,443,allow,204,70,134,4,26,2,2,95,1
56710,53,52813,53,allow,177,94,83,2,30,1,1,18,7
61396,443,45721,443,allow,550484,8433,542051,541,246,99,442,96,1
61273,443,55960,443,allow,19675,8597,11078,137,480,68,69,97,2
50016,53,14072,53,allow,766,103,663,4,41,2,2,98,2
58307,443,36806,443,allow,934,506,428,14,29,8,6,99,1
55182,53,36739,53,allow,293,94,199,2,30,1,1,100,3
56911,53,31733,53,allow,177,94,83,2,30,1,1,79,5
41631,443,38429,443,allow,20180,2917,17263,35,124,14,21,101,1
38637,443,8499,443,allow,12339,2392,9947,36,287,15,21,102,1
45317,53,22055,53,allow,86,86,0,1,30,1,0,103,1
56704,53,2427,53,allow,318,94,224,2,30,1,1,104,9
49410,53,62890,53,allow,177,94,83,2,30,1,1,105,9
56504,53,45710,53,allow,102,102,0,1,30,1,0,106,5
50003,443,32664,443,allow,13812,3042,10770,29,16,15,14,107,1
40737,443,35009,443,allow,44004,3909,40095,80,135,38,42,108,1
38082,443,14308,443,allow,284,164,120,4,15,2,2,109,2
36036,443,36036,443,allow,261234,32183,229051,326,212,153,173,110,1
55476,53,58894,53,allow,232,110,122,2,30,1,1,111,1
49395,53,40831,53,allow,390,111,279,4,53,2,2,112,2
56172,53,35826,53,allow,253,87,166,4,30,2,2,113,3
56624,53,36589,53,allow,177,94,83,2,31,1,1,114,11
57470,20220,32069,20220,allow,870,330,540,12,2308,6,6,115,1
33856,443,15413,443,allow,8171028,105740,8065288,6637,149,745,5892,116,2
59983,443,26904,443,allow,296863,14073,282790,351,127,130,221,117,2
15503,63425,41497,63425,allow,481,150,331,2,1200,1,1,118,1
53987,16571,20059,16571,allow,70,70,0,1,5,1,0,119,2
53986,54070,39036,54070,allow,70,70,0,1,5,1,0,120,2
64094,1024,62040,1024,allow,70,70,0,1,5,1,0,121,2
64095,1976,59706,1976,allow,70,70,0,1,5,1,0,122,2
52126,443,21159,443,allow,1672,1149,523,13,37,8,5,123,2
52144,80,16896,80,allow,366,240,126,7,33,5,2,124,1
50816,443,50681,443,allow,134,60,74,3,6,2,1,125,1
50057,80,26007,80,allow,1570,754,816,10,16,6,4,126,1
52146,80,44068,80,allow,366,240,126,7,33,5,2,127,2
54139,53,64934,53,allow,168,78,90,2,31,1,1,128,1
49410,53,29049,53,allow,177,94,83,2,31,1,1,105,9
53994,16605,15809,16605,allow,70,70,0,2,8,2,0,129,1
35242,8635,35242,8635,allow,138,78,60,2,6,1,1,130,1
52148,80,27900,80,allow,366,240,126,7,33,5,2,131,2
49900,443,28761,443,allow,1820,1101,719,18,73,10,8,132,5
43931,53,36161,53,allow,168,78,90,2,31,1,1,133,1
51048,445,0,0,deny,70,70,0,1,0,1,0,134,2
51045,445,0,0,deny,70,70,0,1,0,1,0,135,2
13394,23,0,0,deny,60,60,0,1,0,1,0,136,1
61078,57470,0,0,deny,62,62,0,1,0,1,0,137,2
55725,445,0,0,deny,70,70,0,1,0,1,0,138,2
55723,445,0,0,deny,70,70,0,1,0,1,0,139,1
55724,445,0,0,deny,70,70,0,1,0,1,0,140,2
51125,445,0,0,deny,66,66,0,1,0,1,0,141,2
51123,445,0,0,deny,66,66,0,1,0,1,0,142,1
51122,445,0,0,deny,66,66,0,1,0,1,0,143,1
51121,445,0,0,deny,66,66,0,1,0,1,0,144,2
51126,445,0,0,deny,66,66,0,1,0,1,0,145,2
51124,445,0,0,deny,66,66,0,1,0,1,0,146,1
51120,445,0,0,deny,66,66,0,1,0,1,0,147,3
51119,445,0,0,deny,66,66,0,1,0,1,0,148,1
62776,62413,0,0,deny,146,146,0,1,0,1,0,149,3
51041,445,0,0,deny,70,70,0,1,0,1,0,150,2
46448,30170,0,0,deny,159,159,0,1,0,1,0,151,1
10688,25174,0,0,deny,146,146,0,1,0,1,0,152,3
34086,25174,0,0,deny,62,62,0,1,0,1,0,153,3
64605,25174,0,0,deny,62,62,0,1,0,1,0,154,3
51039,445,0,0,deny,70,70,0,1,0,1,0,155,2
56688,25174,0,0,deny,62,62,0,1,0,1,0,156,3
57015,42707,0,0,deny,62,62,0,1,0,1,0,157,3
41213,25174,0,0,deny,62,62,0,1,0,1,0,158,2
57131,8055,0,0,deny,145,145,0,1,0,1,0,159,4
45855,25174,0,0,deny,62,62,0,1,0,1,0,160,2
54483,25174,0,0,deny,66,66,0,1,0,1,0,161,1
45855,25174,0,0,deny,146,146,0,1,0,1,0,160,2
49990,62413,0,0,deny,66,66,0,1,0,1,0,162,1
1582,56205,0,0,deny,62,62,0,1,0,1,0,163,2
65003,57470,0,0,deny,78,78,0,1,0,1,0,164,3
55718,445,0,0,deny,70,70,0,1,0,1,0,165,1
55717,445,0,0,deny,70,70,0,1,0,1,0,166,1
55713,445,0,0,deny,70,70,0,1,0,1,0,167,2
55708,445,0,0,deny,70,70,0,1,0,1,0,168,2
63486,51505,0,0,deny,66,66,0,1,0,1,0,169,1
54100,37965,0,0,deny,62,62,0,1,0,1,0,170,1
51034,445,0,0,deny,70,70,0,1,0,1,0,171,2
51107,445,0,0,deny,66,66,0,1,0,1,0,172,1
51105,445,0,0,deny,66,66,0,1,0,1,0,173,2
51104,445,0,0,deny,66,66,0,1,0,1,0,174,3
1815,22114,0,0,deny,66,66,0,1,0,1,0,175,1
443,47582,0,0,deny,60,60,0,1,0,1,0,176,3
443,47582,0,0,deny,85,85,0,1,0,1,0,176,3
443,47582,0,0,deny,100,100,0,1,0,1,0,176,3
59126,57470,0,0,deny,66,66,0,1,0,1,0,177,2
27621,50584,0,0,deny,62,62,0,1,0,1,0,178,3
52266,50038,0,0,deny,66,66,0,1,0,1,0,179,1
56456,1433,0,0,deny,60,60,0,1,0,1,0,180,2
43537,2323,0,0,deny,60,60,0,1,0,1,0,181,1
40772,15503,0,0,deny,74,74,0,1,0,1,0,182,4
50594,25174,0,0,deny,66,66,0,1,0,1,0,183,2
4323,64147,0,0,deny,62,62,0,1,0,1,0,184,3
55703,445,0,0,deny,70,70,0,1,0,1,0,185,2
55701,445,0,0,deny,70,70,0,1,0,1,0,186,1
55696,445,0,0,deny,70,70,0,1,0,1,0,187,1
55698,445,0,0,deny,70,70,0,1,0,1,0,188,1
34349,25174,0,0,deny,146,146,0,1,0,1,0,189,1
39587,22114,0,0,deny,62,62,0,1,0,1,0,190,1
42542,25174,0,0,deny,62,62,0,1,0,1,0,191,2
49529,21247,0,0,deny,62,62,0,1,0,1,0,192,3
64579,37965,0,0,deny,66,66,0,1,0,1,0,193,1
51021,445,0,0,deny,70,70,0,1,0,1,0,194,3
53771,57470,0,0,deny,66,66,0,1,0,1,0,195,2
15701,37965,0,0,deny,146,146,0,1,0,1,0,196,4
4529,56205,0,0,deny,62,62,0,1,0,1,0,197,1
45060,37965,0,0,deny,62,62,0,1,0,1,0,198,4
32554,34729,0,0,deny,62,62,0,1,0,1,0,199,2
51018,445,0,0,deny,70,70,0,1,0,1,0,200,1
47913,25174,0,0,deny,146,146,0,1,0,1,0,201,3
55686,445,0,0,deny,70,70,0,1,0,1,0,202,2
55683,445,0,0,deny,70,70,0,1,0,1,0,203,1
55679,445,0,0,deny,70,70,0,1,0,1,0,204,3
2206,25174,0,0,deny,62,62,0,1,0,1,0,205,1
64808,62413,0,0,deny,62,62,0,1,0,1,0,206,3
17244,22114,0,0,deny,62,62,0,1,0,1,0,207,1
51095,445,0,0,deny,66,66,0,1,0,1,0,208,2
51014,445,0,0,deny,70,70,0,1,0,1,0,209,3
58925,25174,0,0,deny,66,66,0,1,0,1,0,210,3
32549,37807,0,0,deny,146,146,0,1,0,1,0,211,1
51012,445,0,0,deny,70,70,0,1,0,1,0,212,2
52838,37965,0,0,deny,66,66,0,1,0,1,0,213,3
34217,23,0,0,deny,60,60,0,1,0,1,0,214,1
52459,33890,0,0,deny,60,60,0,1,0,1,0,215,10
51010,445,0,0,deny,70,70,0,1,0,1,0,216,1
55678,445,0,0,deny,70,70,0,1,0,1,0,217,2
6666,3389,0,0,deny,60,60,0,1,0,1,0,218,4
1024,21854,0,0,deny,157,157,0,1,0,1,0,219,1
55677,445,0,0,deny,70,70,0,1,0,1,0,220,3
25533,22114,0,0,deny,62,62,0,1,0,1,0,221,1
47132,1433,0,0,deny,60,60,0,1,0,1,0,222,3
56119,37965,0,0,deny,62,62,0,1,0,1,0,223,2
51080,445,0,0,deny,66,66,0,1,0,1,0,224,3
51076,445,0,0,deny,66,66,0,1,0,1,0,225,2
51003,445,0,0,deny,70,70,0,1,0,1,0,226,2
54502,34729,0,0,deny,66,66,0,1,0,1,0,227,2
53626,30317,0,0,deny,66,66,0,1,0,1,0,228,2
53712,25174,0,0,deny,66,66,0,1,0,1,0,229,1
51001,445,0,0,deny,70,70,0,1,0,1,0,230,2
33726,44847,0,0,deny,62,62,0,1,0,1,0,231,1
22568,37965,0,0,deny,66,66,0,1,0,1,0,232,1
443,49988,0,0,deny,82,82,0,1,0,1,0,233,6
55667,445,0,0,deny,70,70,0,1,0,1,0,234,1
55665,445,0,0,deny,70,70,0,1,0,1,0,235,1
55660,445,0,0,deny,70,70,0,1,0,1,0,236,2
55658,445,0,0,deny,70,70,0,1,0,1,0,237,2
53985,30188,0,0,deny,62,62,0,1,0,1,0,238,3
57613,42707,0,0,deny,62,62,0,1,0,1,0,239,3
6666,6001,0,0,deny,60,60,0,1,0,1,0,240,2
45941,23386,0,0,deny,60,60,0,1,0,1,0,241,53
51000,445,0,0,deny,70,70,0,1,0,1,0,242,1
51071,445,0,0,deny,66,66,0,1,0,1,0,243,2
50999,445,0,0,deny,70,70,0,1,0,1,0,244,1
50998,445,0,0,deny,70,70,0,1,0,1,0,245,3
55759,5900,0,0,deny,60,60,0,1,0,1,0,246,1
50995,445,0,0,deny,70,70,0,1,0,1,0,247,3
50992,445,0,0,deny,70,70,0,1,0,1,0,248,1
51067,445,0,0,deny,66,66,0,1,0,1,0,249,2
51066,445,0,0,deny,66,66,0,1,0,1,0,250,2
51065,445,0,0,deny,66,66,0,1,0,1,0,251,2
51062,445,0,0,deny,66,66,0,1,0,1,0,252,1
51057,445,0,0,deny,66,66,0,1,0,1,0,253,2
51063,445,0,0,deny,66,66,0,1,0,1,0,254,1
51059,445,0,0,deny,66,66,0,1,0,1,0,255,1
55651,445,0,0,deny,70,70,0,1,0,1,0,256,2
21268,62609,0,0,deny,146,146,0,1,0,1,0,257,2
21268,62609,0,0,deny,146,146,0,1,0,1,0,257,2
55648,445,0,0,deny,70,70,0,1,0,1,0,258,1
55646,445,0,0,deny,70,70,0,1,0,1,0,259,2
55644,445,0,0,deny,70,70,0,1,0,1,0,260,2
50980,445,0,0,deny,70,70,0,1,0,1,0,261,1
50979,445,0,0,deny,70,70,0,1,0,1,0,262,3
23758,44847,0,0,deny,62,62,0,1,0,1,0,263,1
50975,445,0,0,deny,70,70,0,1,0,1,0,264,3
53324,44847,0,0,deny,66,66,0,1,0,1,0,265,2
50970,445,0,0,deny,70,70,0,1,0,1,0,266,2
50969,445,0,0,deny,70,70,0,1,0,1,0,267,2
53243,57470,0,0,deny,74,74,0,1,0,1,0,268,2
64776,25174,0,0,deny,66,66,0,1,0,1,0,269,1
50547,22197,0,0,deny,66,66,0,1,0,1,0,270,2
64298,50584,0,0,deny,66,66,0,1,0,1,0,271,1
30456,36237,0,0,deny,62,62,0,1,0,1,0,272,3
56816,443,16188,443,allow,7956,1967,5989,20,15,11,9,273,1
52011,80,26180,80,allow,23580,10536,13044,36,39,18,18,274,1
50198,3389,50198,3389,allow,3343,1454,1889,15,16,8,7,275,1
56624,53,45708,53,allow,170,87,83,2,30,1,1,114,11
56813,443,32005,443,allow,8021,2001,6020,20,16,11,9,276,1
52007,443,2667,443,allow,10217,8266,1951,33,39,20,13,277,1
64092,14447,29856,14447,allow,66,66,0,1,5,1,0,278,2
64270,443,64270,443,allow,4747,1840,2907,19,27,11,8,279,1
51163,443,48007,443,allow,9466,2602,6864,41,185,20,21,280,1
52469,443,22069,443,allow,29896,14149,15747,61,209,35,26,281,1
46898,53,46898,53,allow,194,87,107,2,30,1,1,282,1
53198,443,53198,443,allow,4591,1684,2907,19,28,11,8,283,2
5886,80,5886,80,allow,138678,5557,133121,152,16,58,94,284,1
56815,443,53722,443,allow,7903,1914,5989,20,15,11,9,285,1
52270,3708,62556,3708,allow,316,136,180,6,6,3,3,286,1
52264,43015,38341,43015,allow,70,70,0,2,7,2,0,287,1
62685,443,28394,443,allow,7023,2352,4671,18,75,10,8,288,1
49333,443,8337,443,allow,50226,4284,45942,76,75,31,45,289,2
62892,443,62892,443,allow,4377,1470,2907,19,30,11,8,290,1
50487,3389,50487,3389,allow,6312,2620,3692,25,24,12,13,291,1
39430,443,21846,443,allow,506,292,214,8,50,5,3,292,1
45232,80,45232,80,allow,2895,1484,1411,10,15,6,4,293,1
51164,443,28609,443,allow,5040,2743,2297,34,185,18,16,294,2
64099,55470,50878,55470,allow,66,66,0,1,5,1,0,295,2
52240,52893,2825,52893,allow,66,66,0,1,5,1,0,296,2
48550,443,45303,443,allow,778,358,420,12,43,6,6,297,1
47845,53,47845,53,allow,243,94,149,2,32,1,1,298,1
52263,16350,50284,16350,allow,70,70,0,2,8,2,0,299,1
53177,8595,28264,8595,allow,70,70,0,2,9,2,0,300,1
53984,57077,2292,57077,allow,70,70,0,1,5,1,0,301,2
56674,443,44964,443,allow,237,177,60,3,5,2,1,302,2
34440,53,34440,53,allow,235,90,145,2,32,1,1,303,1
44389,443,27883,443,allow,3067,1817,1250,18,16,8,10,304,1
52265,32078,35097,32078,allow,70,70,0,2,7,2,0,305,1
54996,53,39612,53,allow,168,86,82,2,35,1,1,58,4
35609,443,35165,443,allow,237,177,60,3,5,2,1,306,2
55727,43736,19578,43736,allow,70,70,0,1,5,1,0,307,2
56911,53,21649,53,allow,170,87,83,2,30,1,1,79,5
50193,3389,50193,3389,allow,3409,1454,1955,16,16,8,8,308,2
49935,53,10954,53,allow,75,75,0,1,30,1,0,309,7
52852,53,0,0,allow,82,82,0,1,30,1,0,310,1
59226,53,59226,53,allow,194,87,107,2,30,1,1,311,1
60286,443,29238,443,allow,7576,1897,5679,23,136,13,10,312,1
27313,53,27313,53,allow,194,87,107,2,31,1,1,313,1
55674,53,14625,53,allow,744,89,655,2,31,1,1,314,1
40814,53,40814,53,allow,213,87,126,2,31,1,1,315,1
53067,4040,59736,4040,allow,115,115,0,1,31,1,0,316,1
56730,53,30044,53,allow,170,87,83,2,31,1,1,317,7
46713,53,46713,53,allow,217,87,130,2,31,1,1,318,1
32806,53,32806,53,allow,194,87,107,2,31,1,1,319,1
56434,53,6758,53,allow,701,88,613,2,31,1,1,320,3
51221,64767,41578,64767,allow,330,330,0,6,1200,6,0,321,1
19502,53,19502,53,allow,198,89,109,2,31,1,1,322,1
53151,53,29237,53,allow,168,78,90,2,31,1,1,323,1
56086,443,31892,443,allow,6817,3598,3219,32,143,15,17,324,2
27839,53,27839,53,allow,213,87,126,2,31,1,1,325,1
22835,51221,0,0,deny,62,62,0,1,0,1,0,326,4
65305,51221,0,0,deny,66,66,0,1,0,1,0,327,1
23001,64147,0,0,deny,62,62,0,1,0,1,0,328,1
52128,37807,0,0,deny,62,62,0,1,0,1,0,329,3
23632,64147,0,0,deny,66,66,0,1,0,1,0,330,1
48706,23393,0,0,deny,60,60,0,1,0,1,0,331,44
64288,53,54415,53,allow,398,103,295,4,41,2,2,332,5
52041,80,18599,80,allow,2901,1407,1494,15,38,9,6,333,1
64087,80,46757,80,allow,314,192,122,6,15,4,2,334,1
56052,53,22562,53,allow,177,94,83,2,30,1,1,335,3
52150,80,40663,80,allow,546,300,246,10,32,6,4,336,1
48706,23393,0,0,deny,60,60,0,1,0,1,0,331,44
55641,445,0,0,deny,70,70,0,1,0,1,0,337,2
55642,445,0,0,deny,70,70,0,1,0,1,0,338,1
55640,445,0,0,deny,70,70,0,1,0,1,0,339,1
51050,445,0,0,deny,66,66,0,1,0,1,0,340,2
35207,22114,0,0,deny,62,62,0,1,0,1,0,341,3
55635,445,0,0,deny,70,70,0,1,0,1,0,342,2
50957,445,0,0,deny,70,70,0,1,0,1,0,343,2
51432,25174,0,0,deny,146,146,0,1,0,1,0,344,1
51047,445,0,0,deny,66,66,0,1,0,1,0,345,1
51046,445,0,0,deny,66,66,0,1,0,1,0,346,1
51045,445,0,0,deny,66,66,0,1,0,1,0,135,2
17925,26467,0,0,deny,66,66,0,1,0,1,0,347,1
34993,15503,0,0,deny,62,62,0,1,0,1,0,348,4
8040,44847,0,0,deny,66,66,0,1,0,1,0,349,2
39588,25174,0,0,deny,66,66,0,1,0,1,0,350,2
51042,445,0,0,deny,66,66,0,1,0,1,0,351,2
2978,48817,0,0,deny,66,66,0,1,0,1,0,352,1
1536,48817,0,0,deny,62,62,0,1,0,1,0,353,1
43269,50584,0,0,deny,66,66,0,1,0,1,0,354,2
33453,64147,0,0,deny,62,62,0,1,0,1,0,355,6
51414,22,0,0,deny,60,60,0,1,0,1,0,356,19
34810,25174,0,0,deny,62,62,0,1,0,1,0,357,1
50951,445,0,0,deny,70,70,0,1,0,1,0,358,2
5685,35440,0,0,deny,62,62,0,1,0,1,0,359,3
55633,445,0,0,deny,70,70,0,1,0,1,0,360,1
51598,56079,0,0,deny,66,66,0,1,0,1,0,361,2
40239,22114,0,0,deny,146,146,0,1,0,1,0,362,1
443,18368,0,0,deny,60,60,0,1,0,1,0,363,1
55622,445,0,0,deny,70,70,0,1,0,1,0,364,1
52145,80,50375,80,allow,366,240,126,7,32,5,2,365,1
50039,7000,50039,7000,allow,3050,1659,1391,16,15,9,7,366,1
56717,80,40230,80,allow,3894448,104279,3790169,4041,97,1411,2630,367,1
52162,443,20113,443,allow,1461,924,537,13,31,7,6,368,1
52272,37105,49502,37105,allow,316,136,180,6,6,3,3,369,1
56504,53,24881,53,allow,198,102,96,2,32,1,1,106,5
64098,10096,50669,10096,allow,70,70,0,1,4,1,0,370,2
52241,51717,19106,51717,allow,70,70,0,1,4,1,0,371,2
52143,80,6472,80,allow,366,240,126,7,32,5,2,372,1
50050,443,8381,443,allow,7912,3269,4643,23,95,12,11,373,1
52164,443,54936,443,allow,4187,773,3414,16,30,9,7,374,3
52115,443,22081,443,allow,11551,3870,7681,29,37,16,13,375,1
52147,80,1117,80,allow,366,240,126,7,32,5,2,376,1
52157,80,19874,80,allow,366,240,126,7,32,5,2,377,1
55526,80,37218,80,allow,78,78,0,2,8,2,0,378,2
52151,80,38473,80,allow,546,300,246,10,32,6,4,379,1
49359,443,64650,443,allow,63494,7222,56272,107,81,49,58,380,2
60512,6881,33887,6881,allow,320,140,180,6,6,3,3,381,1
53982,24226,55007,24226,allow,70,70,0,1,4,1,0,382,2
53985,26515,42482,26515,allow,70,70,0,1,4,1,0,383,2
16965,3389,16965,3389,allow,4085,1916,2169,21,18,12,9,384,1
52000,80,35679,80,allow,3604,2064,1540,15,40,10,5,385,3
38717,443,31292,443,allow,958865,18695,940170,908,16,266,642,386,1
56624,53,34436,53,allow,177,94,83,2,30,1,1,114,11
49795,53,44891,53,allow,263,94,169,2,30,1,1,387,3
50057,53,37422,53,allow,177,94,83,2,30,1,1,388,3
55306,53,39881,53,allow,177,94,83,2,30,1,1,389,4
52159,80,23650,80,allow,502,310,192,9,31,6,3,390,2
52153,80,26645,80,allow,366,240,126,7,32,5,2,391,1
55725,14704,64431,14704,allow,70,70,0,1,5,1,0,392,2
50711,80,19117,80,allow,1658,1247,411,8,15,5,3,393,2
58304,443,13109,443,allow,13442,1200,12242,26,29,11,15,394,1
58305,443,38970,443,allow,11659,1027,10632,25,29,11,14,395,1
60291,53,5136,53,allow,78,78,0,1,30,1,0,396,1
56555,53,42493,53,allow,348,94,254,2,30,1,1,397,1
49436,53,61599,53,allow,718,94,624,2,30,1,1,398,2
64226,53,54672,53,allow,245,94,151,2,30,1,1,399,2
55379,443,27244,443,allow,13679,7277,6402,35,262,15,20,400,1
33825,443,41237,443,allow,9407,2233,7174,38,96,16,22,401,2
19763,53,19763,53,allow,216,82,134,2,32,1,1,402,1
56741,53,5499,53,allow,370,94,276,2,30,1,1,403,2
51041,80,59300,80,allow,1514,480,1034,11,15,6,5,404,1
56663,53,41717,53,allow,181,94,87,2,33,1,1,405,5
56440,53,62063,53,allow,212,102,110,2,30,1,1,406,3
49961,443,64983,443,allow,16890,7125,9765,33,98,19,14,407,1
52236,15313,26526,15313,allow,70,70,0,1,5,1,0,408,2
56052,53,19569,53,allow,177,94,83,2,30,1,1,335,3
53971,80,16324,80,allow,662,448,214,10,15,7,3,409,1
64196,53,65372,53,allow,262,94,168,2,30,1,1,410,1
38330,123,58815,123,allow,184,94,90,2,30,1,1,411,1
49935,53,45170,53,allow,168,86,82,2,30,1,1,309,7
55639,53,27613,53,allow,244,94,150,2,30,1,1,412,4
53470,53,29709,53,allow,168,78,90,2,30,1,1,413,1
51986,80,28001,80,allow,1420,888,532,11,49,7,4,414,2
