Source Port,Destination Port,Action,Rule ID,HitCount
52148,80,allow,131,2
49900,443,allow,132,5
43931,53,allow,133,1
51048,445,deny,134,2
51045,445,deny,135,2
13394,23,deny,136,1
61078,57470,deny,137,2
55725,445,deny,138,2
55723,445,deny,139,1
55724,445,deny,140,2
51125,445,deny,141,2
51123,445,deny,142,1
51122,445,deny,143,1
51121,445,deny,144,2
51126,445,deny,145,2
51124,445,deny,146,1
51120,445,deny,147,3
51119,445,deny,148,1
62776,62413,deny,149,3
51041,445,deny,150,2
46448,30170,deny,151,1
10688,25174,deny,152,3
34086,25174,deny,153,3
64605,25174,deny,154,3
51039,445,deny,155,2
56688,25174,deny,156,3
57015,42707,deny,157,3
41213,25174,deny,158,2
57131,8055,deny,159,4
45855,25174,deny,160,2
54483,25174,deny,161,1
49990,62413,deny,162,1
1582,56205,deny,163,2
65003,57470,deny,164,3
55718,445,deny,165,1
55717,445,deny,166,1
55713,445,deny,167,2
55708,445,deny,168,2
63486,51505,deny,169,1
54100,37965,deny,170,1
51034,445,deny,171,2
51107,445,deny,172,1
51105,445,deny,173,2
51104,445,deny,174,3
1815,22114,deny,175,1
443,47582,deny,176,3
59126,57470,deny,177,2
27621,50584,deny,178,3
52266,50038,deny,179,1
56456,1433,deny,180,2
43537,2323,deny,181,1
40772,15503,deny,182,4
50594,25174,deny,183,2
4323,64147,deny,184,3
55703,445,deny,185,2
55701,445,deny,186,1
55696,445,deny,187,1
55698,445,deny,188,1
34349,25174,deny,189,1
39587,22114,deny,190,1
42542,25174,deny,191,2
49529,21247,deny,192,3
64579,37965,deny,193,1
51021,445,deny,194,3
53771,57470,deny,195,2
15701,37965,deny,196,4
4529,56205,deny,197,1
45060,37965,deny,198,4
32554,34729,deny,199,2
51018,445,deny,200,1
47913,25174,deny,201,3
55686,445,deny,202,2
55683,445,deny,203,1
55679,445,deny,204,3
2206,25174,deny,205,1
64808,62413,deny,206,3
17244,22114,deny,207,1
51095,445,deny,208,2
51014,445,deny,209,3
58925,25174,deny,210,3
32549,37807,deny,211,1
51012,445,deny,212,2
52838,37965,deny,213,3
34217,23,deny,214,1
52459,33890,deny,215,10
51010,445,deny,216,1
55678,445,deny,217,2
6666,3389,deny,218,4
1024,21854,deny,219,1
55677,445,deny,220,3
25533,22114,deny,221,1
47132,1433,deny,222,3
56119,37965,deny,223,2
51080,445,deny,224,3
51076,445,deny,225,2
51003,445,deny,226,2
54502,34729,deny,227,2
53626,30317,deny,228,2
53712,25174,deny,229,1
51001,445,deny,230,2
33726,44847,deny,231,1
22568,37965,deny,232,1
443,49988,deny,233,6
55667,445,deny,234,1
55665,445,deny,235,1
55660,445,deny,236,2
55658,445,deny,237,2
53985,30188,deny,238,3
57613,42707,deny,239,3
6666,6001,deny,240,2
45941,23386,deny,241,53
51000,445,deny,242,1
51071,445,deny,243,2
50999,445,deny,244,1
50998,445,deny,245,3
55759,5900,deny,246,1
50995,445,deny,247,3
50992,445,deny,248,1
51067,445,deny,249,2
51066,445,deny,250,2
51065,445,deny,251,2
51062,445,deny,252,1
51057,445,deny,253,2
51063,445,deny,254,1
51059,445,deny,255,1
55651,445,deny,256,2
21268,62609,deny,257,2
55648,445,deny,258,1
55646,445,deny,259,2
55644,445,deny,260,2
50980,445,deny,261,1
50979,445,deny,262,3
23758,44847,deny,263,1
50975,445,deny,264,3
53324,44847,deny,265,2
50970,445,deny,266,2
50969,445,deny,267,2
53243,57470,deny,268,2
64776,25174,deny,269,1
50547,22197,deny,270,2
64298,50584,deny,271,1
30456,36237,deny,272,3
56816,443,allow,273,1
52011,80,allow,274,1
50198,3389,allow,275,1
56813,443,allow,276,1
52007,443,allow,277,1
64092,14447,allow,278,2
64270,443,allow,279,1
51163,443,allow,280,1
52469,443,allow,281,1
46898,53,allow,282,1
53198,443,allow,283,2
5886,80,allow,284,1
56815,443,allow,285,1
52270,3708,allow,286,1
52264,43015,allow,287,1
62685,443,allow,288,1
49333,443,allow,289,2
62892,443,allow,290,1
50487,3389,allow,291,1
39430,443,allow,292,1
45232,80,allow,293,1
51164,443,allow,294,2
64099,55470,allow,295,2
52240,52893,allow,296,2
48550,443,allow,297,1
47845,53,allow,298,1
52263,16350,allow,299,1
53177,8595,allow,300,1
53984,57077,allow,301,2
56674,443,allow,302,2
34440,53,allow,303,1
44389,443,allow,304,1
52265,32078,allow,305,1
35609,443,allow,306,2
55727,43736,allow,307,2
50193,3389,allow,308,2
49935,53,allow,309,7
52852,53,allow,310,1
59226,53,allow,311,1
60286,443,allow,312,1
27313,53,allow,313,1
55674,53,allow,314,1
40814,53,allow,315,1
53067,4040,allow,316,1
56730,53,allow,317,7
46713,53,allow,318,1
32806,53,allow,319,1
56434,53,allow,320,3
51221,64767,allow,321,1
19502,53,allow,322,1
53151,53,allow,323,1
56086,443,allow,324,2
27839,53,allow,325,1
22835,51221,deny,326,4
65305,51221,deny,327,1
23001,64147,deny,328,1
52128,37807,deny,329,3
23632,64147,deny,330,1
48706,23393,deny,331,44
64288,53,allow,332,5
52041,80,allow,333,1
64087,80,allow,334,1
56052,53,allow,335,3
52150,80,allow,336,1
55641,445,deny,337,2
55642,445,deny,338,1
55640,445,deny,339,1
51050,445,deny,340,2
35207,22114,deny,341,3
55635,445,deny,342,2
50957,445,deny,343,2
51432,25174,deny,344,1
51047,445,deny,345,1
51046,445,deny,346,1
17925,26467,deny,347,1
34993,15503,deny,348,4
8040,44847,deny,349,2
39588,25174,deny,350,2
51042,445,deny,351,2
2978,48817,deny,352,1
1536,48817,deny,353,1
43269,50584,deny,354,2
33453,64147,deny,355,6
51414,22,deny,356,19
34810,25174,deny,357,1
50951,445,deny,358,2
5685,35440,deny,359,3
55633,445,deny,360,1
51598,56079,deny,361,2
40239,22114,deny,362,1
443,18368,deny,363,1
55622,445,deny,364,1
52145,80,allow,365,1
50039,7000,allow,366,1
56717,80,allow,367,1
52162,443,allow,368,1
52272,37105,allow,369,1
64098,10096,allow,370,2
52241,51717,allow,371,2
52143,80,allow,372,1
50050,443,allow,373,1
52164,443,allow,374,3
52115,443,allow,375,1
52147,80,allow,376,1
52157,80,allow,377,1
55526,80,allow,378,2
52151,80,allow,379,1
49359,443,allow,380,2
60512,6881,allow,381,1
53982,24226,allow,382,2
53985,26515,allow,383,2
16965,3389,allow,384,1
52000,80,allow,385,3
38717,443,allow,386,1
49795,53,allow,387,3
50057,53,allow,388,3
55306,53,allow,389,4
52159,80,allow,390,2
52153,80,allow,391,1
55725,14704,allow,392,2
50711,80,allow,393,2
58304,443,allow,394,1
58305,443,allow,395,1
60291,53,allow,396,1
56555,53,allow,397,1
49436,53,allow,398,2
64226,53,allow,399,2
55379,443,allow,400,1
33825,443,allow,401,2
19763,53,allow,402,1
56741,53,allow,403,2
51041,80,allow,404,1
56663,53,allow,405,5
56440,53,allow,406,3
49961,443,allow,407,1
52236,15313,allow,408,2
53971,80,allow,409,1
64196,53,allow,410,1
38330,123,allow,411,1
55639,53,allow,412,4
53470,53,allow,413,1
51986,80,allow,414,2
40831,80,allow,415,1
36138,443,allow,416,1
33151,53,allow,417,1
50563,53,allow,418,1
50480,443,allow,419,2
57138,443,allow,420,2
52152,80,allow,421,1
55724,45682,allow,422,2
51999,80,allow,423,1
51934,443,allow,424,2
56521,53,allow,425,2
50056,27018,allow,426,5
65078,53,allow,427,3
55999,443,allow,428,2
43088,5228,allow,429,1
37647,443,allow,430,1
58424,443,allow,431,2
52142,80,allow,432,1
52155,80,allow,433,2
65524,443,allow,434,1
52163,443,allow,435,1
52161,443,allow,436,1
53995,41985,allow,437,1
51221,51413,allow,438,7
65525,443,allow,439,1
52080,80,allow,440,1
52158,80,allow,441,1
10151,11888,allow,442,1
52154,80,allow,443,1
49899,443,allow,444,2
53983,40500,allow,445,2
49668,443,allow,446,2
64093,64828,allow,447,2
52237,16801,allow,448,2
57242,53,allow,449,1
60833,443,allow,450,1
32971,443,allow,451,3
52027,80,allow,452,1
56773,80,allow,453,1
44421,443,allow,454,1
55806,53,allow,455,4
17129,53,allow,456,1
51404,443,allow,457,1
36503,443,allow,458,1
53660,443,allow,459,3
54401,443,allow,460,1
52018,80,allow,461,2
55726,32463,allow,462,2
50054,443,allow,463,1
56667,53,allow,464,9
56684,53,allow,465,2
65001,53,allow,466,2
56751,53,allow,467,3
52127,80,allow,468,1
12939,53,allow,469,1
52486,443,allow,470,1
52238,48996,allow,471,2
55848,53,allow,472,3
65484,53,allow,473,3
49695,53,allow,474,2
64877,53,allow,475,6
43516,53,allow,476,1
52865,443,allow,477,2
50684,443,allow,478,1
52013,80,allow,479,1
51946,80,allow,480,1
52160,80,allow,481,1
52267,55982,allow,482,1
24965,53,allow,483,1
52266,31225,allow,484,1
51930,443,allow,485,1
38999,443,allow,486,1
57986,80,allow,487,2
54877,53,allow,488,1
49432,53,allow,489,8
49743,53,allow,490,2
49913,53,allow,491,7
39311,443,allow,492,1
42046,443,allow,493,1
44323,5228,allow,494,1
55072,53,allow,495,11
49980,53,allow,496,3
47739,5228,allow,497,1
6881,6881,allow,498,39
55065,53,allow,499,2
45151,53,allow,500,1
57470,13613,allow,501,3
53637,443,allow,502,1
50064,80,allow,503,1
50065,80,allow,504,1
58964,80,allow,505,1
57262,53,allow,506,5
53638,443,allow,507,2
28007,443,allow,508,2
49964,53,allow,509,3
49854,443,allow,510,2
64112,24707,allow,511,1
53895,443,allow,512,3
55563,53,allow,513,7
55619,445,deny,514,3
3456,11392,deny,515,3
50942,445,deny,516,1
50939,445,deny,517,2
50941,445,deny,518,1
443,34920,deny,519,1
15774,56205,deny,520,1
50937,445,deny,521,2
443,14591,deny,522,9
63421,44847,deny,523,2
62949,37965,deny,524,2
55517,25174,deny,525,1
50935,445,deny,526,1
63346,37965,deny,527,2
42564,50584,deny,528,1
51032,445,deny,529,1
45652,10214,deny,530,2
33314,44847,deny,531,1
52470,14037,deny,532,1
1024,35894,deny,533,2
43704,37965,deny,534,2
48830,5900,deny,535,1
51024,445,deny,536,1
55608,445,deny,537,2
56039,50584,deny,538,3
50928,445,deny,539,4
59977,30188,deny,540,3
26884,57866,deny,541,1
61624,30317,deny,542,1
60141,30188,deny,543,3
52812,25174,deny,544,3
11643,81,deny,545,1
52769,51221,deny,546,1
50920,445,deny,547,2
11056,6881,deny,548,2
50917,445,deny,549,3
6666,62078,deny,550,2
39213,25174,deny,551,2
47063,15503,deny,552,5
56428,30317,deny,553,2
51007,445,deny,554,2
24534,50584,deny,555,2
50913,445,deny,556,2
50912,445,deny,557,1
42981,44847,deny,558,3
7151,37965,deny,559,1
60722,37965,deny,560,1
56940,5900,deny,561,1
56366,51221,deny,562,1
3945,35440,deny,563,2
55597,445,deny,564,1
55595,445,deny,565,2
55596,445,deny,566,2
50996,445,deny,567,1
50997,445,deny,568,2
50991,445,deny,569,2
50994,445,deny,570,2
50993,445,deny,571,2
50990,445,deny,572,1
50908,445,deny,573,3
36357,25174,deny,574,3
64333,57470,deny,575,3
35319,51505,deny,576,2
56876,11392,deny,577,3
50907,445,deny,578,3
47141,50584,deny,579,2
52340,22114,deny,580,3
6889,5529,deny,581,1
5151,50584,deny,582,2
40988,60043,deny,583,1
50902,445,deny,584,2
55593,445,deny,585,1
55592,445,deny,586,2
55582,445,deny,587,2
55580,445,deny,588,3
20012,8443,deny,589,2
50978,445,deny,590,1
50976,445,deny,591,1
59610,51505,deny,592,1
64406,25174,deny,593,3
50506,10214,deny,594,2
7110,25174,deny,595,1
55575,445,deny,596,1
62111,35440,deny,597,1
60799,25174,deny,598,1
6666,5000,deny,599,4
1116,44847,deny,600,1
61202,35894,deny,601,2
55569,445,deny,602,1
55568,445,deny,603,1
55567,445,deny,604,3
50889,445,deny,605,2
35744,64147,deny,606,1
26424,27189,deny,607,2
1038,37965,deny,608,8
50886,445,deny,609,2
50127,64147,deny,610,3
61183,25174,deny,611,1
59972,25174,deny,612,1
55558,445,deny,613,2
55555,445,deny,614,1
55551,445,deny,615,2
55043,57470,deny,616,6
60128,22114,deny,617,1
14263,22114,deny,618,3
7521,20234,deny,619,1
27153,50584,deny,620,1
50963,445,deny,621,1
50882,445,deny,622,2
50880,445,deny,623,2
10669,49756,deny,624,15
10594,25174,deny,625,1
50878,445,deny,626,2
49001,48817,deny,627,2
56432,35253,deny,628,1
55550,445,deny,629,2
63321,37807,deny,630,2
55512,23718,deny,631,1
55547,445,deny,632,2
19875,30170,deny,633,31
43671,17372,deny,634,3
50871,445,deny,635,1
48071,25174,deny,636,3
50950,445,deny,637,1
50947,445,deny,638,2
54280,3385,deny,639,7
47266,25174,deny,640,1
50869,445,deny,641,2
28875,51505,deny,642,3
36229,62413,deny,643,2
52225,31985,allow,644,2
52234,64624,allow,645,1
57575,443,allow,646,2
57573,443,allow,647,1
55410,53,allow,648,2
55059,53,allow,649,1
2182,53,allow,650,1
55613,53,allow,651,4
64775,443,allow,652,1
52277,443,allow,653,2
51493,80,allow,654,1
57570,443,allow,655,3
52224,37178,allow,656,1
52259,25011,allow,657,1
55589,443,allow,658,1
53527,443,allow,659,1
55893,53,allow,660,5
55836,53,allow,661,10
64928,53,allow,662,1
56752,53,allow,663,5
49241,443,allow,664,1
60443,443,allow,665,1
52235,48910,allow,666,1
53993,6881,allow,667,1
52221,33166,allow,668,2
56597,443,allow,669,2
64089,20260,allow,670,2
50895,443,allow,671,3
64114,64126,allow,672,1
59937,443,allow,673,3
55592,443,allow,674,1
55591,443,allow,675,1
56811,443,allow,676,1
49336,80,allow,677,1
53527,5228,allow,678,1
51152,443,allow,679,1
64111,1830,allow,680,1
52230,47803,allow,681,1
56812,443,allow,682,2
55590,443,allow,683,1
52260,52142,allow,684,1
55100,53,allow,685,6
56810,443,allow,686,1
59895,53,allow,687,1
42625,443,allow,688,1
46422,80,allow,689,1
44847,18659,allow,690,1
54153,443,allow,691,1
3376,35440,deny,692,1
50868,445,deny,693,3
55538,445,deny,694,1
55532,445,deny,695,2
55530,445,deny,696,1
55529,445,deny,697,2
50867,445,deny,698,2
50866,445,deny,699,3
50862,445,deny,700,2
50861,445,deny,701,2
2815,62413,deny,702,1
41477,50584,deny,703,1
59393,25174,deny,704,1
50945,445,deny,705,2
53089,24211,deny,706,3
55206,22114,deny,707,2
13406,22114,deny,708,2
18745,64147,deny,709,3
53189,62413,deny,710,2
50934,445,deny,711,1
50936,445,deny,712,2
50938,445,deny,713,2
50932,445,deny,714,1
55590,53,allow,715,2
50929,445,deny,716,2
50927,445,deny,717,3
50848,445,deny,718,3
50847,445,deny,719,2
443,41237,deny,720,1
50843,445,deny,721,1
55523,445,deny,722,2
50838,445,deny,723,2
50837,445,deny,724,4
45964,2777,deny,725,1
55520,445,deny,726,2
55518,445,deny,727,1
55516,445,deny,728,3
53275,21247,deny,729,3
53750,25174,deny,730,3
65288,44847,deny,731,1
60003,36829,deny,732,1
53667,22114,deny,733,3
65270,3855,deny,734,8
51827,56205,deny,735,2
58835,17372,deny,736,3
42674,22114,deny,737,1
49587,35776,deny,738,1
50826,445,deny,739,2
12655,30627,deny,740,1
55514,445,deny,741,2
55515,445,deny,742,2
55509,445,deny,743,1
52102,443,allow,744,2
52262,14418,allow,745,1
52231,1026,allow,746,1
42873,443,allow,747,1
57441,53,allow,748,4
54571,443,allow,749,1
51502,80,allow,750,1
64581,53,allow,751,3
34220,443,allow,752,1
50008,53,allow,753,5
57470,21158,allow,754,1
52211,80,allow,755,1
47159,443,allow,756,1
49291,443,allow,757,1
49255,80,allow,758,1
49300,443,allow,759,5
46452,53,allow,760,1
21018,53,allow,761,1
55135,53,allow,762,1
50705,80,allow,763,1
50697,80,allow,764,3
35671,443,allow,765,1
52228,49974,allow,766,1
50746,443,allow,767,2
49486,7000,allow,768,1
59877,443,allow,769,1
60526,443,allow,770,1
47009,53,allow,771,1
55067,443,allow,772,3
65077,53,allow,773,1
52258,58792,allow,774,1
41431,443,allow,775,2
49508,443,allow,776,2
52256,41337,allow,777,1
37419,443,allow,778,1
51817,443,allow,779,1
52232,35126,allow,780,2
60372,53,allow,781,1
52220,65128,allow,782,2
52223,11979,allow,783,2
40189,443,allow,784,1
52802,443,allow,785,1
35216,123,allow,786,1
51221,49857,allow,787,1
65139,53,allow,788,7
52101,80,allow,789,1
49474,7000,allow,790,2
37466,443,allow,791,1
50700,80,allow,792,7
50704,80,allow,793,2
43744,53,allow,794,1
50226,80,allow,795,2
50665,443,allow,796,3
56441,80,allow,797,3
1935,53,allow,798,1
56022,53,allow,799,1
50265,17555,allow,800,1
53973,50546,allow,801,1
57913,80,allow,802,1
49240,443,allow,803,1
53705,443,allow,804,2
64110,51617,allow,805,1
52233,42673,allow,806,1
56275,53,allow,807,5
52222,11516,allow,808,2
60474,443,allow,809,1
35922,443,allow,810,1
50433,443,allow,811,1
33042,443,allow,812,2
59833,443,allow,813,1
52257,6712,allow,814,1
38716,443,allow,815,1
52226,48784,allow,816,2
52645,6881,allow,817,1
64081,59517,allow,818,1
52149,80,allow,819,2
52015,80,allow,820,1
53024,123,allow,821,1
50366,80,allow,822,2
55354,53,allow,823,6
54351,53,allow,824,1
1937,53,allow,825,1
51406,443,allow,826,2
43625,53,allow,827,1
56962,53,allow,828,5
50171,53,allow,829,1
57470,8999,allow,830,3
65062,53,allow,831,1
33065,443,allow,832,1
56528,443,allow,833,2
54391,80,allow,834,1
50698,80,allow,835,2
60809,40010,allow,836,1
52255,16087,allow,837,1
55723,80,allow,838,2
52229,54711,allow,839,1
45839,80,allow,840,1
52048,80,allow,841,1
50961,5222,allow,842,1
37426,443,allow,843,1
53176,58851,allow,844,1
59949,80,allow,845,1
41314,80,allow,846,1
43225,443,allow,847,1
39097,443,allow,848,1
46295,443,allow,849,3
54343,443,allow,850,1
50707,80,allow,851,1
52261,48208,allow,852,1
49335,80,allow,853,1
43227,443,allow,854,2
123,123,allow,855,34
1938,53,allow,856,1
37427,443,allow,857,2
50584,51413,allow,858,7
51221,40624,allow,859,1
55387,443,allow,860,1
19473,45556,allow,861,1
30188,12494,allow,862,1
57470,24276,allow,863,1
21133,51413,allow,864,3
55650,53,allow,865,4
53126,53,allow,866,1
58990,53,allow,867,1
21846,53,allow,868,1
5111,53,allow,869,1
53980,36153,allow,870,2
40785,443,allow,871,1
46271,7700,allow,872,1
50253,53,allow,873,3
57449,80,allow,874,1
56841,53,allow,875,2
55494,53,allow,876,1
55507,445,deny,877,1
53305,50584,deny,878,3
50919,445,deny,879,2
63495,50584,deny,880,3
50915,445,deny,881,1
51114,25174,deny,882,1
59549,50584,deny,883,2
50822,445,deny,884,1
59107,25174,deny,885,2
45941,23388,deny,886,21
55504,445,deny,887,4
55310,50584,deny,888,2
50813,445,deny,889,2
50811,445,deny,890,1
50810,445,deny,891,2
36992,25174,deny,892,2
55498,445,deny,893,2
55491,445,deny,894,3
993,34205,deny,895,1
50807,445,deny,896,3
50806,445,deny,897,2
50903,445,deny,898,2
20112,64147,deny,899,2
27507,25174,deny,900,3
54539,26467,deny,901,3
61583,64147,deny,902,2
26420,25174,deny,903,2
57325,60043,deny,904,3
50800,445,deny,905,3
50895,445,deny,906,2
59497,64097,deny,907,3
56576,9000,deny,908,1
61932,25174,deny,909,1
22029,50584,deny,910,2
55481,445,deny,911,2
58460,36237,deny,912,1
51348,25174,deny,913,2
63409,50265,deny,914,1
50893,445,deny,915,2
443,35385,deny,916,7
50792,445,deny,917,1
3914,37965,deny,918,1
3911,37965,deny,919,1
50789,445,deny,920,3
32722,25174,deny,921,2
50885,445,deny,922,1
53353,26467,deny,923,5
35616,21247,deny,924,1
3093,62413,deny,925,2
31410,25174,deny,926,2
50785,445,deny,927,1
50784,445,deny,928,1
53194,35440,deny,929,2
10652,57470,deny,930,1
62838,44847,deny,931,3
14578,50584,deny,932,1
6546,37965,deny,933,5
3667,56205,deny,934,3
50780,445,deny,935,3
40418,25174,deny,936,3
55468,445,deny,937,1
55469,445,deny,938,3
55467,445,deny,939,2
50863,445,deny,940,2
50865,445,deny,941,3
50870,445,deny,942,2
50864,445,deny,943,1
50779,445,deny,944,3
58229,50584,deny,945,2
60058,11392,deny,946,1
8889,63001,deny,947,1
11317,61248,deny,948,1
52044,44847,deny,949,1
56075,23,deny,950,1
25565,47158,deny,951,1
50774,445,deny,952,1
55463,445,deny,953,3
55567,53,allow,954,2
55458,445,deny,955,3
55460,445,deny,956,1
55452,445,deny,957,2
56098,64147,deny,958,3
53120,25174,deny,959,3
57607,21247,deny,960,3
13168,35440,deny,961,3
50850,445,deny,962,3
58463,11392,deny,963,3
22981,15503,deny,964,3
0,0,deny,965,88
0,0,allow,966,85
62971,44847,deny,967,3
443,9863,deny,968,1
55448,445,deny,969,2
32983,51221,deny,970,2
443,48056,deny,971,1
55443,445,deny,972,2
55441,445,deny,973,1
55440,445,deny,974,2
50761,445,deny,975,2
5223,32965,deny,976,6
23031,22114,deny,977,1
53544,21247,deny,978,1
58758,22114,deny,979,2
26821,57866,deny,980,2
38565,51505,deny,981,5
50758,445,deny,982,1
45064,25174,deny,983,2
57793,37807,deny,984,3
1730,37965,deny,985,1
54131,57866,deny,986,1
57779,22114,deny,987,1
55430,445,deny,988,2
55427,445,deny,989,2
55423,445,deny,990,1
50754,445,deny,991,1
43571,26467,deny,992,1
58861,26467,deny,993,1
50752,445,deny,994,1
993,58185,deny,995,2
50750,445,deny,996,2
10467,25174,deny,997,3
7105,25174,deny,998,3
10430,22114,deny,999,1
18986,44847,deny,1000,1
63765,51221,deny,1001,5
39393,22114,deny,1002,2
443,45788,deny,1003,8
61637,25174,deny,1004,2
55422,445,deny,1005,2
64431,53,allow,1006,4
40932,8434,allow,1007,1
49564,443,allow,1008,1
64715,53,allow,1009,6
53276,80,allow,1010,1
36712,53,allow,1011,5
57171,3389,allow,1012,1
26249,7000,allow,1013,1
49484,7000,allow,1014,1
51432,80,allow,1015,2
64113,22211,allow,1016,1
52274,443,allow,1017,1
61443,443,allow,1018,1
56807,443,allow,1019,1
45315,80,allow,1020,1
62333,443,allow,1021,2
38400,53,allow,1022,1
56659,53,allow,1023,2
63738,443,allow,1024,1
57424,53,allow,1025,8
56809,443,allow,1026,1
56808,443,allow,1027,1
49483,7000,allow,1028,1
8416,8416,allow,1029,1
56838,53,allow,1030,4
57436,53,allow,1031,6
52246,52840,allow,1032,1
56343,53,allow,1033,6
8415,8415,allow,1034,1
52025,80,allow,1035,1
52280,443,allow,1036,1
17052,53,allow,1037,1
41774,53,allow,1038,1
8414,8414,allow,1039,1
50190,53,allow,1040,1
55797,53,allow,1041,7
50972,3544,allow,1042,10
51443,53,allow,1043,1
55325,53,allow,1044,9
56882,53,allow,1045,2
6881,64422,allow,1046,1
65284,53,allow,1047,1
26458,44847,deny,1048,1
55420,445,deny,1049,2
23383,64147,deny,1050,3
50415,64147,deny,1051,1
50743,445,deny,1052,1
26906,22114,deny,1053,3
65507,53,allow,1054,10
50822,443,allow,1055,1
53197,80,allow,1056,1
53195,443,allow,1057,2
50183,443,allow,1058,1
39636,80,allow,1059,1
62069,443,allow,1060,1
51263,443,allow,1061,3
38280,80,allow,1062,1
50170,53,allow,1063,1
56755,443,allow,1064,2
42441,123,allow,1065,1
50744,443,allow,1066,2
50078,53,allow,1067,2
60017,443,allow,1068,2
48783,53,allow,1069,1
56285,443,allow,1070,1
37786,443,allow,1071,1
40074,443,allow,1072,1
51982,80,allow,1073,2
57038,53,allow,1074,8
45315,443,allow,1075,1
50187,443,allow,1076,1
50186,443,allow,1077,2
61361,443,allow,1078,2
52053,80,allow,1079,1
56092,53,allow,1080,2
55594,53,allow,1081,6
51684,80,allow,1082,1
55059,443,allow,1083,1
50188,443,allow,1084,1
50185,443,allow,1085,1
50184,443,allow,1086,1
35519,80,allow,1087,1
46587,443,allow,1088,1
58589,80,allow,1089,1
36535,443,allow,1090,3
61362,443,allow,1091,2
42117,443,allow,1092,1
61364,443,allow,1093,2
53168,23074,allow,1094,1
55915,53,allow,1095,1
55226,443,allow,1096,2
65330,53,allow,1097,3
55867,53,allow,1098,8
55963,53,allow,1099,2
65520,53,allow,1100,1
64439,53,allow,1101,5
50698,5900,allow,1102,1
8204,53,allow,1103,1
60376,443,allow,1104,2
52101,443,allow,1105,2
56757,443,allow,1106,2
44250,443,allow,1107,1
33119,80,allow,1108,1
32895,443,allow,1109,1
53169,44707,allow,1110,1
53975,40978,allow,1111,1
51120,587,allow,1112,1
43129,443,allow,1113,1
64996,53,allow,1114,1
52609,18081,allow,1115,1
49250,80,allow,1116,1
51324,465,allow,1117,1
50406,443,allow,1118,1
49485,7080,allow,1119,1
